,,,,,,,,,,,,,,,,
"//!","(Micro)Python distribution timeline data sheet",,,,,,,,,,,,,,,
"//!","Original idea (“Línea del tiempo Distribuciones Linux”) - José Alex Sandoval",,,,,,,,,,,,,,,
"//!","Adapted from https://github.com/FabioLolix/LinuxTimeline from MicroPython",,,,,,,,,,,,,,,
"//!","Permission is granted to copy, distribute and/or modify this document",,,,,,,,,,,,,,,
"//!","under the terms of the GNU Free Documentation License, Version 1.3",,,,,,,,,,,,,,,
"//!","or any later version published by the Free Software Foundation;",,,,,,,,,,,,,,,
"//!","with no Invariant Sections, no Front-Cover Texts, and no Back-Cover Texts.",,,,,,,,,,,,,,,
"//!",,,,,,,,,,,,,,,,
"//!",,,,,,,,,,,,,,,,
"//","Open/save this file as a standard CSV  <=>  comma (,) separated and double quotes ("") as text delimiter.",,,,,,,,,,,,,,,
"//","You can safely insert commas or double quotes into data fields.",,,,,,,,,,,,,,,
"//","EXCEPTION: Don't insert a comma right after a double quote, since this terminates the field.",,,,,,,,,,,,,,,
"//","When editing with LibreOffice Calc, load the file with “quoted field as text” turned on to prevent autoformatting.",,,,,,,,,,,,,,,
"//",,,,,,,,,,,,,,,,
"//!","gnuclad parses this correctly no matter in what order the nodes are. You can swap any lines.",,,,,,,,,,,,,,,
"//!",,,,,,,,,,,,,,,,
"//!","Empty lines get ignored, the first column controls the rest of the line:",,,,,,,,,,,,,,,
"//!","# = comment, N = node, C = connector, D = domain",,,,,,,,,,,,,,,
"//!","SVG = SVG image to include, PNG = PNG image to include",,,,,,,,,,,,,,,
"//!",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"#","Nodes",,,,,,,,,,,,,,,
"#","Name","Color","Parent","Start","Stop","Icon","Description","[Namechange","When","Description","[Namechange","When","Description",". . . ]]",,
"N","Python","#bf1238",,"1991.2.20","2000.09.01","","https://www.python.org",,,,,,,,,
"N","Python 2","#5b860a","Python","2000.09.01","2020.01.01",,"https://www.python.org/",,,,,,,,,
"N","Python 3","#000","Python 2","2008.12.03",,,"https://www.python.org",,,,,,,,,
"N","MicroPython","#000","","2014.5.3",,,"https://micropython.org/",,,,,,,,,
"N","MicroPython - micro:bit","#000","MicroPython","2018.6.8",,,"https://github.com/bbcmicrobit/micropython",,,,,,,,,
"N","MicroPython - openmv","#000","MicroPython","2019.12.17",,,"https://github.com/openmv/micropython",,,,,,,,,
"N","MicroPython - PyCom","#000","MicroPython","2017.3.17",,,"https://github.com/pycom/pycom-micropython-sigfox",,,,,,,,,
"N","MicroPython - Lego","#000","MicroPython","2020.2.12",,,"https://circuitpython.org",,,,,,,,,
"N","MicroPython - XBee","#000","MicroPython","2018.6.18",,,"https://github.com/digidotcom/xbee-micropython",,,,,,,,,
"N","MicroPython - Casio","#000","MicroPython","2018.12.6",,,"https://edu.casio.com/products/graphic/fxcg50/",,,,,,,,,
"N","MicroPython - Numworks","#000","MicroPython","2017.5.11",,,"https://github.com/numworks/epsilon",,,,,,,,,
"N","Pycopy","#000","MicroPython","2014.5.3",,,"https://github.com/pfalcon/pycopy",,,,,,,,,
"N","MicroPython - Microsemi RISCV","#000","MicroPython","2017.12.31",,,"https://content.riscv.org/wp-content/uploads/2017/12/RISC-V-Poster-Preview.pdf",,,,,,,,,
"N","MaixPy","#000","MicroPython","2019.6.22",,,"https://github.com/sipeed/MaixPy",,,,,,,,,
"N","ArduPy","#000","MicroPython","2019.4.29",,,"https://github.com/Seeed-Studio/ArduPy",,,,,,,,,
"N","Iobris","#000","MicroPython","2018.01.03",,,"https://github.com/loboris/MicroPython_ESP32_psRAM_LoBo",,,,,,,,,
"N","CircuitPython","#be33ff","MicroPython","2017.7.19",,,"https://circuitpython.org",,,,,,,,,
"N","TI Python","#000","CircuitPython","2019.01.28",,,"https://github.com/adafruit/awesome-micropythons",,,,,,,,,
,,,,,,,,,,,,,,,,
"#","Connectors",,,,,,,,,,,,,,,
"#","Leaving 'To When' empty will result in using 'From When' as this value",,,,,,,,,,,,,,,
"#","From When","From","To When","To","Thickness","Color",,,,,,,,,,
,,,,,,,,,,,,,,,,
"#","Domains",,,,,,,,,,,,,,,
"#","Distribution","Color","Intensity",,,,,,,,,,,,,
"D","Python","#bf1238","6",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"#","Images",,,,,,,,,,,,,,,
"#","File Path","x Position","y Position",,,,,,,,,,,,,
